sentence text,event interval start,event interval end,trigger,rule,polarity,controller,controlled
The simple model that best fits the data is that unregulated mTOR activity caused by the Tsc2 +/- mutation suppresses the protein synthesis that is required for mGluR-LTD ( XREF_FIG ) .,11,17,caused,Positive_activation_syntax_2_verb,Positive_activation,"""Tsc2""","""mTOR"""
""" We hypothesized that mutations in PTEN ( a cause of HMEG associated with Proteus syndrome ) , TSC1 or TSC2 ( tuberous sclerosis complex ) genes , which are known to modulate beta-catenin and mTOR signaling could cause sporadic HMEG . """,20,36,modulate,Positive_activation_syntax_5_verb,Positive_activation,"""TSC2""","""mTOR"""
""" A concerted anabolic signal is generated by leucine which facilitates the translocation of the kinase mTOR to the surface of the lysosome , where it is activated by Rheb , and by IGF-I which relieves the inherent inhibition of mTOR by TSC2 . """,38,43,inhibition,Negative_activation_token_2_noun,Positive_activation,"""TSC2""","""mTOR"""
""" The protein products of these genes function as negative effectors of the mTOR and raptor complex ( mTORC ) ; thus , mutations in TSC1 and TSC2 , NF1 or PTEN activate mTOR signaling . """,27,34,activate,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
Phosphorylation of TSC2 by ERK promoted dissociation of the tuberous sclerosis complex and attenuated TSC2 mediated inhibition of mTOR in cells .,14,19,inhibition,Negative_activation_syntax_3_noun,Positive_activation,"""TSC2""","""mTOR"""
""" The hyperactivation of mTOR induced by Tsc1 and Tsc2 heterozygosity can be inhibited by mTOR inhibitors , such as the macrolide rapamycin . """,4,10,induced,Positive_activation_syntax_2_verb,Positive_activation,"""Tsc2""","""mTOR"""
""" However , because hamartin and tuberin mediate signal transduction from PKB to mTOR , which is required for phosphorylation and synaptic trafficking of GluR1 containing AMPA-Rs , synaptic and spine plasticity , and associative learning , it is possible that mutations of TSC1 and TSC2 cause learning impairment by stimulating abnormally high PKB -- mTOR signaling . """,45,56,cause,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" However , because hamartin and tuberin mediate signal transduction from PKB to mTOR , which is required for phosphorylation and synaptic trafficking of GluR1 containing AMPA-Rs , synaptic and spine plasticity , and associative learning , it is possible that mutations of TSC1 and TSC2 cause learning impairment by stimulating abnormally high PKB -- mTOR signaling . """,45,56,cause,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" GSK-3beta activates TSC2 and consequently further suppresses mTOR , whereas Akt inhibits TSC2 thus decreasing TSC2 suppression of mTOR . """,13,20,decreasing,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" In TSC , the result of inactivating mutations in TSC1 or TSC2 is to reduce inhibition of the mTOR pathway and therefore hyperactivate downstream targets of mTOR [ XREF_BIBR ] . """,12,20,reduce,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" As a GTP activating protein ( GAP ) , TSC2 or tuberin inactivates Ras homologue enriched in brain ( Rheb ) which can directly bind to and activate mTOR . """,10,30,activate,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" On the other hand , insulin receptor signaling inhibits TSC1 and TSC2 via Akt , thereby activating the mTOR pathway . """,12,20,activating,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
Downregulation of TSC2 promotes the activation of RheB and mTOR and S6K1 .,2,10,promotes,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Under basal conditions , TSC2 negatively regulates mTOR , so that Akt mediated TSC2 phosphorylation activates mTOR , which in turns activates p70S6K and 4E-BP1 , promoting translation of mRNAs important to cancer cell growth [ XREF_BIBR , XREF_BIBR ] . """,5,9,negatively regulates,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Mutations in the proteins known to inhibit mTOR signaling including NF1 , PTEN , TSC1 , and TSC2 are all linked to neurological disease and autistic like behavioral phenotypes . """,8,19,signaling,Positive_activation_syntax_noun_Hearst,Positive_activation,"""TSC2""","""mTOR"""
""" Mutations in TSC1 and TSC2 , NF1 , or PTEN activate the mTOR and PI3K pathway and lead to syndromic ASD with tuberous sclerosis , neurofibromatosis , or macrocephaly . """,5,14,activate,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Liang et al. find that the tumor suppressors TSC1 and TSC2 , defects in which underlie the genetic disease Tuberous Sclerosis Complex ( TSC ) , drive the mTOR dependent autophagosomal destruction of the transcriptional activator YAP . """,11,30,drive,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
Rheb acts downstream of TSC2 to activate mTOR ( mammalian target of rapamycin ) a crucial signal transducer which regulates protein synthesis and cell growth [ XREF_BIBR - XREF_BIBR ] .,4,8,activate,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
Fibroblast EVs have been reported to increase RGC survival and growth after acute optic nerve ischemia via established axon growth regulatory pathways involving mTOR activation by GSK3beta and TSC2 [ XREF_BIBR * ] .,23,29,activation,Positive_activation_syntax_2_noun,Positive_activation,"""TSC2""","""mTOR"""
""" For ovine conceptus development during implantation and placentation , integrin activation by SPP1 binding and arginine are proposed to stimulate remodeling of trophectoderm for elongation and adherence to uterine LE/sGE via cytoskeletal reorganization that facilitates cell motility , stabilizes adhesion , and collectively activates MTOR signaling pathways mediated by protein kinase b-alpha ( AKT1 ) , tuberous sclerosis 1 and 2 ( TSC1 and TSC2 ) and MTORC1 ( cell proliferation and mRNA translation ) , as well as mTORC2 ( cell migration , cell survival and cytoskeletal organization ) in trophectoderm cells . """,45,66,mediated,Positive_activation_syntax_2_verb,Positive_activation,"""TSC2""","""MTOR"""
""" Here we further show that mTOR inhibition is required for gerosuppression by hypoxia , at least in some cellular models , because depletion of TSC2 abolished mTOR inhibition and gerosupression by hypoxia . """,25,28,abolished,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Inhibition of mTOR through rapamycin treatment caused the monocytes to differentiate toward a M1 phenotype , whereas activation of mTOR by RNA interference mediated knockdown of the mTOR repressor TSC2 induced the differentiation of monocytes toward a M2 macrophage phenotype [ XREF_BIBR ] . """,28,31,repressor,Negative_activation_token_1_noun,Positive_activation,"""TSC2""","""mTOR"""
Inhibition of TSC2 by pUL38 dysregulates the mTOR pathway and induces survival signal in infected cells .,2,8,dysregulates,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
Inactivation of TSC2 results in activation of mTOR via the Ras related small GTPase ( Rheb ) .,2,8,results in activation,Positive_activation_syntax_8_verb,Positive_activation,"""TSC2""","""mTOR"""
These findings provide novel evidence in mouse models that Tsc2 mutations intrinsically cause a more severe neurological phenotype than Tsc1 mutations and suggest that the difference in phenotype may be related to the degree to which Tsc1 and Tsc2 inactivation causes abnormal mTOR activation .,38,43,causes,Positive_activation_syntax_1_verb,Positive_activation,"""Tsc2""","""mTOR"""
""" The activity of Rheb is in turn suppressed by the Tuberous Sclerosis Complex ( TSC ) , comprised of the tumor suppressors TSC1 ( hamartin ) and TSC2 ( tuberin ) , and the recently defined TBC1D7 , which act coordinately as a GTPase activating protein ( GAP ) to convert active Rheb-GTP to inactive Rheb-GDP and suppress mTOR . """,8,60,suppressed,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" As TSC2 has been shown to inhibit Notch in an mTOR independent fashion , 31 inactivation of TSC2 may also activate Notch signaling independent of mTOR regulation in intestinal cells . """,18,27,activate,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Independent of TSC2 , AKT also stimulates mTOR activity directly by inhibiting PRAS40 . """,3,9,stimulates,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" This was observed to occur via enhanced expression of regulated in development and DNA damage response protein 1 ( REDD1 ) and its downstream target , TSC2 , which inhibits mTOR activity . """,27,32,inhibits,Negative_activation_syntax_5_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Furthermore , Tsc2 deficiency and hyperactive Rheb constitutively activated mTOR and inhibited ephrin induced growth cone collapse . """,3,11,activated,Positive_activation_syntax_1_verb,Positive_activation,"""Tsc2""","""mTOR"""
""" Activated Akt subsequently phosphorylates numerous substrates that promote tumorigenesis , including tuberous sclerosis complex 2 ( TSC2 ) , which in turn activates mTOR complex 1 ( mTORC1 ) . """,17,25,activates,Positive_activation_syntax_5_verb,Positive_activation,"""TSC2""","""mTOR"""
""" In TSC2 +/- hearts , the phosphorylation level of S6K was increased ( XREF_FIG ) compared with that in WT mouse hearts , indicating that mTOR activity was stimulated by down-regulation of TSC2 . """,26,34,stimulated,Positive_activation_syntax_2_verb,Positive_activation,"""TSC2""","""mTOR"""
""" In contrast , AKT in the PI3K pathway opposes AMPK 's inhibitory effects on the mTOR pathway , both through inhibition of AMPK and TSC2 and direct activation of mTOR itself ( XREF_FIG ) . """,25,31,activation,Positive_activation_syntax_3_noun,Positive_activation,"""TSC2""","""mTOR"""
Some studies have suggested that TSC2 also mediates the control of mTOR by amino acids .,5,12,mediates,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Next , we examined whether phosphorylation at the S387 residue by P-ERK modulates caspase-8 dimerization . """,12,15,modulates,Positive_activation_token_1_verb,Positive_activation,"""P-ERK""","""caspase-8"""
""" Inhibition of GSK-3beta , in turn , promotes NFATc2 inhibition and degradation in cancer cells . """,3,10,promotes,Positive_activation_syntax_1_verb,Positive_activation,"""GSK-3beta""","""NFATc2"""
""" Of the several apoptotic genes that p53 can directly target , NOXA and PUMA ( pro apoptotic Bcl-2 family ) are induced by p53 in cell types that express pro apoptotic Bcl-2 family members , although Noxa and Puma can also be induced by p53 independent mechanisms . """,18,25,induced,Positive_activation_syntax_2_verb,Positive_activation,"""p53""","""Bcl-2"""
""" PUMA , p53 inducible gene , is closely related to strong apoptosis and modulates anti-apoptotic Bcl-2 and pro apoptotic Bax , thereby activating caspase-3 and -9 [ XREF_BIBR ] . """,3,17,modulates,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" This strategy was explored in the current study , where p53 downstream target miR-34 was restored in p53-mutant gastric cancer Kato III cells with a high level of Bcl-2 and low levels of miR-34 , resulting in downregulation of Bcl-2 and Notch and HMGA2 , tumor cell growth inhibition and accumulation in G1 phase , and chemosensitization and Caspase-3 activation and apoptosis . """,11,41,restored,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" These data provide evidence that p53 is required in the apoptotic response upon NF-Y RNAi , suggesting that decreased levels of anti-apoptotic genes are not sufficient to induce apoptosis , as pro apoptotic members of the Bcl-2 family activated by p53 play a significant role in this phenomenon . """,37,42,activated,Positive_activation_syntax_2_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Mechanistically , we show that IL-1beta activates the tumor suppressor p53 through an oxidative stress dependent mechanism resulting in p53 mediated induction of the cyclin dependent kinase inhibitor p21 and the proapoptotic Bcl-2 ( B-cell lymphoma-2 ) family members Puma ( p53 upregulated modulator of apoptosis ) and Noxa . """,20,34,induction,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""Bcl-2"""
""" Taken together , the findings of the current study reveal a novel mechanism whereby p53 negatively modulates Bcl-2 by controlling miR-1915 . """,15,19,modulates,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
Bcl-2 and Bax modify this pathway or directly regulated by p53 .,0,11,directly regulated,Positive_activation_syntax_2_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Western blot and real-time PCR assays indicated that activation of CCR7 significantly caused upregulation of anti-apoptotic bcl-2 and downregulation of pro apoptotic bax and caspase-3 , but not p53 , at both protein and mRNA levels . """,14,30,upregulation,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""bcl-2"""
""" In our study , it was demonstrated that decitabine increased cytotoxic effect in chemoresistant AML cells via DNA damage associated P53 activation and inhibition of survivin and Bcl-2 . """,21,29,activation,Positive_activation_syntax_3_noun,Positive_activation,"""P53""","""Bcl-2"""
""" Repression of anti-apoptotic members , including Bcl-2 and Bcl-xL , which are transcriptionally suppressed by p53 , preserves the integrity of the mitochondria . """,7,17,suppressed,Negative_activation_syntax_6_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Ultraviolet radiation or DNA damaging drugs induce the intrinsic pathway via p53 mediated transcriptional upregulation of proapoptotic factors of B cell lymphoma 2 ( BCL-2 ) family members such as BAX , APAF-1 , PUMA , and NOXA genes . """,12,26,mediated,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""BCL-2"""
""" p53 activates apoptosis through two distinct mechanisms : 1 ) itengages B cl-2 family members at the mitochondrial membrane resulting in neutralization of anti-apoptotic proteins ( e.g. Bcl-2 ) or activation of pro apoptotic proteins ( e.g. Bax ) , stimulating MOMPto occur , and 2 ) p53 transcriptionally upregulates pro apoptotic Bcl-2 family members ( e.g. PUMA , Noxa , Bax ) . """,48,54,upregulates,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Blockage of p53 by si-RNA transfection suppressed mitochondrial changes of Bcl-2 family composition , mitochondrial membrane depolarization , caspase activation and PARP cleavage , leading to the inhibition of Cr ( VI )-induced apoptosis . """,3,12,suppressed,Negative_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Similarly , inhibition of p53 by its siRNA transfection suppressed the changes of Bcl-2 family proteins , caspases activation , and PARP cleavage that had stimulated after Cr ( VI ) exposure ( XREF_FIG ) . """,5,15,suppressed,Negative_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
The tumor suppressor protein p53 influences apoptosis and can modulate levels of the Bcl-2 protein family XREF_BIBR .,4,14,modulate,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Noxa is a BH3-only member of the Bcl-2 family , upregulated by p53 as a response to DNA damage . """,8,14,upregulated,Positive_activation_syntax_2_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Activation of p53 induces p21 dependent cell-cycle arrest , or increases proapoptotic Bcl-2 family proteins , such as Bax and Puma and BBC3 , thus inducing apoptosis in a cell context dependent manner . """,3,14,increases,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
This study aimed to explore the mechanism of microRNA-486 ( miR-486 ) in cardiomyocyte apoptosis by interfering with the p53 activated BCL-2 associated mitochondrial pathway .,19,22,activated,Positive_activation_token_1_verb,Positive_activation,"""p53""","""BCL-2"""
MiR-486could influence the process of cardiomyocyte apoptosis by regulating P53 mediated BCL-2 associated mitochondrial apoptotic pathway .,9,12,mediated,Positive_early_activation,Positive_activation,"""P53""","""BCL-2"""
miR-486 may regulate cardiomyocyte apoptosis via p53 mediated BCL-2 associated mitochondrial apoptotic pathway .,6,9,mediated,Positive_early_activation,Positive_activation,"""p53""","""BCL-2"""
""" MiR-486 overexpression in cardiomyocytes can effectively reduce the activation of p53 mediated BCL-2 apoptotic pathway , thus protecting the cardiomyocytes , and conversely , reduced miR-486 expression would increase cardiomyocyte apoptosis . """,11,14,mediated,Positive_early_activation,Positive_activation,"""p53""","""BCL-2"""
The role of miR-486 expression level in the regulation of P53 mediated BCL-2 associated mitochondrial apoptotic pathway in cardiomyocytes was also investigated .,10,13,mediated,Positive_early_activation,Positive_activation,"""P53""","""BCL-2"""
MiR-486 regulates cardiomyocyte apoptosis by p53 mediated BCL-2 associated mitochondrial apoptotic pathway .,5,8,mediated,Positive_early_activation,Positive_activation,"""p53""","""BCL-2"""
""" In this study , we used H 2 O 2 to induce apoptosis in primary cardiomyocytes in vitro to detect the correlation between the p53 mediated BCL-2 associated mitochondrial apoptotic pathway and apoptosis in cardiomyocytes , and to study the regulatory effect of miR-486 on this pathway . """,25,28,mediated,Positive_early_activation,Positive_activation,"""p53""","""BCL-2"""
The co-delivery of p53 plasmid DNA and bcl-2 AS ODN in PEI-CA complexes enhanced therapeutic activities of both p53 plasmid DNA and bcl-2 AS ODN .,3,23,enhanced,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""bcl-2"""
A systematic investigation of the apoptosis related Bcl-2 family modulated by p53 in HCC is lacking .,7,12,modulated,Positive_activation_syntax_2_verb,Positive_activation,"""p53""","""Bcl-2"""
""" p53 activation in ASCs , however , does not seem to promote the Bcl-2 apoptotic pathway because no increased expression of Puma and Bax pro apoptotic genes was observed compared with BM MSCs . """,1,15,promote,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" EBV expressed miRNAs include MiR-BHRF1-1 , which inhibits the tumor suppressor gene p53 and miR-BART1 , which activates BCL-2 , an anti-apoptotic protein [ XREF_BIBR , XREF_BIBR - XREF_BIBR ] . """,13,20,activates,Positive_activation_syntax_5_verb,Positive_activation,"""p53""","""BCL-2"""
""" Also , p53 promotes apoptosis by antagonizing the anti-apoptotic effects of Bcl-xL and Bcl-2 at the outer mitochondrial membrane . """,3,15,promotes,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" These include p53 upregulated modulator of apoptosis ( PUMA ) , NADPH oxidase activator ( NOXA ) , XREF_BIBR , XREF_BIBR , XREF_BIBR Bcl-2 family members Bax and Bid , XREF_BIBR , XREF_BIBR and apoptotic peptidase activating factor 1 ( Apaf-1 ) . """,3,25,upregulated,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Indeed , in these conditions the pro apototic Bax , Noxa and PUMA genes and the anti-apoptotic BCL-2 gene which are not known as direct target genes of HIC1 but as direct P53 target genes are activated or repressed , respectively by P53 [ XREF_BIBR ] . """,18,44,activated,Positive_activation_syntax_2_verb,Positive_activation,"""P53""","""BCL-2"""
""" As shown in XREF_FIG , inhibition of ERK1/2 and p53 prevented the Dox induced upregulation of Bax and the downregulation of Bcl-2 . """,10,23,prevented,Negative_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" It has been demonstrated that p53 is able to induce a number of Bcl-2 family genes , including Bad XREF_BIBR , XREF_BIBR . """,6,15,induce,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
The activation of p53 pathway causes mitochondrial dysfunction by regulating the expression levels of pro survival and pro apoptotic Bcl-2 family members .,3,20,causes,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Stimulation of p53 can initiate apoptosis by activating proapoptotic Bcl-2 family member , such as Bax , and repressing antiapoptotic Bcl-2 proteins , such as Bcl-2 and Bcl-xl . """,3,22,initiate,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Upon internal and external stimuli , such as oxidative stress and viral infection , p53 may activate or suppress a number of downstream target genes involved in apoptosis , such as bax , p53 upregulated modulator of apoptosis and bcl-2 . """,34,41,upregulated,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""bcl-2"""
""" Remarkably , p53 has been demonstrated to modulate Bcl-2 family members that regulate apoptosis by controlling mitochondrial permeability . """,3,10,modulate,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" In addition , p53 can activate pro apoptotic members of Bcl-2 family such as Bax , Noxa and PUMA , which are involved in the permeabilization of the outer mitochondrial membrane . """,4,12,activate,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" Death protein 5 ( DP5 ) , p53 upregulated modulator of apoptosis ( PUMA ) and BCL2 like protein 11 ( Bim ) are members of the BCL-2 ( B-cell lymphoma 2 ) family and have been shown to contribute to cytokine induced beta cell death . """,8,29,upregulated,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""BCL-2"""
""" Recently , the product of the p53 tumor suppressor gene , a protein reported to play a critical role in regulating cell proliferation and death , has been shown to directly modulate the transcriptional activity of the bcl-2 and bax genes . """,7,39,modulate,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""bcl-2"""
""" Moreover , the pro apoptotic and pro autophagic effect of FK-16 required p53 dependent upregulation of Bax and downregulation of Bcl-2 . """,13,22,upregulation,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""Bcl-2"""
In this case p53 promotes the transcriptional activation of Bcl-2 superfamily genes .,3,10,promotes,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
These findings further confirm that the p53 Pro variant enhances decay of the anti-apoptotic Bcl-2 and thereby sensitizes cells to Dox induced cell death .,6,15,enhances,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" The hRSV encoded fusion ( F ) protein , which is expressed at a later time point as compared to the NS proteins [ XREF_BIBR ] , has been found to be critical in the activation of apoptosis by p53 mediated activation of pro apoptotic Bcl-2 family proteins [ XREF_BIBR ] . """,40,47,activation,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""Bcl-2"""
""" The Trp53 tumor suppressor gene product ( p53 ) functions in the nucleus to regulate proapoptotic genes , whereas cytoplasmic p53 directly activates proapoptotic Bcl-2 proteins to permeabilize mitochondria and initiate apoptosis . """,8,26,directly activates,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
""" To exclude that apoptosis resulted from p53 modulation of anti-apoptotic BCL-2 proteins rather than direct activation of BAX , we inhibited BCL-xL and BCL -2 in serum starved cells with the inhibitor ABT-737 and again observed that Pin1 enabled p53 mediated apoptosis in the presence of CHX ( XREF_SUPPLEMENTARY ) . """,7,12,modulation,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""BCL-2"""
""" The acetyltransferase TIP60 is regulated by phosphorylation , and we have previously shown that phosphorylation of TIP60 on S86 by GSK-3 promotes p53 mediated induction of the BCL-2 protein PUMA . """,23,29,induction,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""BCL-2"""
""" Quicker repair is accompanied by attenuated p53 activation and expression of the anti-apoptotic factor B-cell lymphoma 2 ( Bcl-2 ) , which maintains bulge stem cell number after DNA damage infliction . """,7,20,activation,Positive_activation_syntax_3_noun,Positive_activation,"""p53""","""Bcl-2"""
""" The tumor suppressor protein , p53 , targets both Bcl-2 and Bax and promotes growth arrest and cell death in response to cell damage . """,6,11,targets,Positive_activation_syntax_1_verb,Positive_activation,"""p53""","""Bcl-2"""
