sentence text,event interval start,event interval end,trigger,rule,polarity,pred_polarity,controller,controlled
"Percentage of probucol-inhibitable , ABCA1 specific cholesterol efflux and peptide mediated total efflux were measured in FAMP5 and another apoA-I mimetic L-4F peptide ( XREF_FIG A and XREF_FIG B ) .",4,20,mediated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""ABCA1""","""apoA-I"""
"SNTA delays the degradation of ABCA1 , and thereby , stimulates apolipoprotein A-I ( ApoA-I ) mediated release of cholesterol .",5,13,stimulates,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""apolipoprotein A-I"""
"In Tangier disease , mutations in both alleles and the absence of ABCA1 activity reduce plasma HDL cholesterol and apoAI by 40 % to 50 % and decrease apoAI HDL lipidation XREF_BIBR , XREF_BIBR ; plasma apoE levels are unchanged or increased .",12,20,reduce,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""apoAI"""
"ABCA1 deficiency decreased apoA-I phospholipidation by 80 % , but acquisition of de novo synthesized and exogenous cholesterol only decreased by 40-60 % .",0,4,decreased,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""apoA-I"""
"ABCA1 upregulation depletes lipid-poor ApoA-I by driving its conversion to alpha-HDL particles ; whereas , increasing the synthesis of new ApoA-I protein results in a parallel increase in lipid-poor ApoA-I .",0,5,depletes,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""ApoA-I"""
"The knock-down of the ATP binding cassette transporters A1 ( ABCA1 ) , G1 ( ABCG1 ) , and of the scavenger receptor-BI ( SR-BI ) diminishes but does not completely block the transport of apoA-I or HDL , so that other receptors appear to be involved .",10,36,block,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""apoA-I"""
"Recently , new research has shown that knock-down of ABCA1 , ABCG1 , and SR-BI diminishes , but does not completely block , the transport of apoA-I or HDL through the endothelium [ XREF_BIBR , XREF_BIBR ] .",9,27,block,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABCA1""","""apoA-I"""
"These data indicate that imatinib impairment of Abl family kinase activity in HNSCC relieves the inhibitory effect of Abl on invadopodia function , promoting ECM degradation .",7,19,relieves,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Abl""","""Abl"""
abi-1 ( tm494 ) abolishes the ability of abl-1 null mutations to suppress defects in engulfment and DTC migration XREF_BIBR .,0,9,abolishes,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""abi-1""","""abl-1"""
"In the present study , we show that Crk and Abi1 have reciprocal and opposing effects on Abl kinase activity , whereby Abl is affirmatively regulated by pTyr251 Crk phosphorylation , and negatively regulated by Abi1 isoform 2 .",17,36,negatively regulated,Negative_activation_syntax_6_verb,Positive_activation,Negative_activation,"""Abi1""","""Abl"""
"ABI1 can inhibit the transforming activity of v-Abl , and ABI1 derived phosphopeptides can inhibit ABL1 activity through an apparent allosteric effect .",10,16,inhibit,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABI1""","""ABL1"""
We show that activated Abl impairs EGFR internalization .,4,7,impairs,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Abl""","""EGFR"""
"These findings indicate that , in addition to stimulating catalase activity , c-Abl and Arg promote catalase degradation in the oxidative stress response .",12,17,promote,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""c-Abl""","""catalase"""
"Likewise , we found that abl-1 ( n1963 ) mutations reduced the level of ER stress resistance conferred by ced-1 ( n2091 ) and ced-6 ( n2095 ) mutations ( XREF_SUPPLEMENTARY and XREF_SUPPLEMENTARY ) .",5,15,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""abl-1""","""ER"""
"In apoptotic cells , activation of c-Abl prevented localization of LASP1 to focal contacts and that possibly disrupted survival signals emanating from these structures .",6,11,prevented,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""c-Abl""","""LASP1"""
"Protein analysis showed that c-Abl depletion obviously decreased the accumulation of p73 protein in irradiated cells at 0 and 4hpi , but not at 24hpi .",4,12,decreased,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""c-Abl""","""p73"""
Here we report that genetic ablation of c-Abl accelerated c-Jun degradation .,7,10,accelerated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""c-Abl""","""c-Jun"""
"Moreover , transfected AAK1 increases the localization of activated Notch to Rab5 positive endocytic vesicles , while AAK1 depletion or overexpression of Numb , an inhibitor of the pathway , interferes with this localization .",17,23,depletion,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""AAK1""","""Numb"""
"These findings suggest a new hypothesis that c-Abl signaling might be implicated in striatal function and raise the possibility that a c-Abl inhibitor might inhibit Cdk5 and DARPP-32-pThr75 signaling , thereby serving as a tool in treating PD symptoms .",7,26,raise,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""c-Abl""","""Cdk5"""
"Although ACE inhibitors have a similar mechanism of action -- namely , inhibition of circulatory ACE , thereby decreasing the formation of angiotensin II -- individual members differ in their physicochemical properties , enzyme binding kinetics , pharmacokinetic profile , organ specific affinity and selectivity , as well as in their bradykinin potentiating effect .",15,24,decreasing,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""ACE""","""angiotensin II"""
"By contrast , Ace KO mice have modestly reduced circulating Ang II , while tissue levels are not significantly modified , possibly as substantial amounts of Ang II are generated by non ACE pathways , while degradation pathways for Ang II are more limited [ XREF_BIBR ] .",3,12,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Ace""","""Ang II"""
"These results suggest that decreased affinity of ACE to the substrate ANG-I ( so called ACE dysfunction syndrome ) produced the reninism and high concentration of plasma ANG-I , and that the latter induced an increase in the glomerular filtration rate of the kidneys with sequential occurrence of secondary hypokalemic periodic paralysis .",7,28,produced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""ANG-I"""
"Chronic ACE inhibition therapy restored previously reduced IGF1 plasma levels in patients with CHF , most likely by reducing angiotensin II activity .",1,21,restored,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""ACE""","""angiotensin II"""
"The aim of the present study was to assess coronary blood flow regulation during tachycardia in the presence of elevated coronary plasma levels of angiotensin II , and the changes induced by ACE inhibition and blockade of angiotensin II and endothelin-A receptors .",32,39,inhibition,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
Inhibition of kininase II with captopril significantly potentiates the vasodilator effect of bradykinin ( BK ) and Ang II in the rat MVB .,2,19,potentiates,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""kininase II""","""Ang II"""
"The ACE homologue ACE2 metabolises AngII to Ang1-7 , decreasing AngII and increasing Ang1-7 , which counteracts AngII activity via the Mas receptor .",1,11,decreasing,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""AngII"""
"These data suggest that angiotensin I conversion is limited by low physiological ACE activities , in vivo .",4,13,limited,Negative_activation_syntax_2_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"In contrast , ACE inhibition by captopril did not inhibit ANG-I degradation .",3,11,inhibit,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""ANG-I"""
"Ang II inhibition by angiotensin converting enzyme ( ACE ) inhibitor in the developing rat kidney decreases the cellular proliferation and increases apoptosis , and this may account for neonatal renal growth impairment .",0,7,inhibition,Negative_activation_syntax_2_noun,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""Ang II"""
"His angiotensin converting enzyme ( ACE ) activities were normal , and administration of captopril inhibited the production of Ang II and aldosterone .",1,21,inhibited,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""Ang II"""
"Although there are theories postulating why blocking the harmful effects of Ang II at this receptor would be more effective than inhibiting ACE mediated conversion from inactive Ang I to Ang II , extrapolation to the clinical setting remains highly speculative .",22,32,mediated,Positive_activation_syntax_7_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
The efficacy of angiotensin converting enzyme ( ACE ) inhibitors is well known to prevent the formation of angiotensin II ( Ang II ) by these agents .,3,20,prevent,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""angiotensin II"""
"XREF_BIBR In the kidneys , where angiotensinogen is available and renin activity is much higher , XREF_BIBR ACE inhibition increased Ang I in controls .",17,22,increased,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang I"""
"Although angiotensin converting enzyme inhibition has been shown to prevent progression of the disease in postmenopausal women , the interaction of angiotensin II and estrogen in this process before and after the menopause is poorly understood .",1,23,prevent,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensin II"""
ACE inhibition significantly increased Ang I in controls ( intrarenal Ang I in the ACEi group was 124 +/-14 fmol/g of KW ) but not in mice cotreated with Ang II ( Ang II+ ACE i : 76 +/-12.3 fmol/g of KW ) .,0,6,increased,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang I"""
"The discovery that ACE inhibitors do not block the formation of all Ang II , such as that from Ang I via chymase and other non ACE enzymes , and/or that from angiotensinogen via non renin pathways , and Ang II levels persist during long-term ACE inhibitor therapy , fueled the concept that the combination of ACE inhibition and AT 1 receptor blockade may produce more complete blockade of the deleterious effects of Ang II and produce greater benefits .",56,75,produce,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
"Angiotensin Converting Enzyme 2 ( ACE2 ) , an ACE homologue XREF_BIBR , XREF_BIBR , degrades AngII into Ang-( 1-7 ) .",9,17,degrades,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""AngII"""
"Importantly , the absence of hypertension in ACE 10/10 mice implies that the lack of kidney ACE prevents angiotensin II infusion from shifting the pressure-natriuresis relationship , a major mechanism in establishing hypertension according to Guyton ' s kidney-fluids hypothesis [ XREF_BIBR ] .",16,20,prevents,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"The downstream target angiotensin converting enzyme ( ACE ) then modulates the concentration of angiotensin II , the key player of the RAAS system , and bradykinin , a component of the kallikrein-kinin system in opposite direction , therefore establishing a direct interaction between kallikrein-kinin and renin-angiotensin system [ XREF_BIBR , XREF_BIBR ] .",3,16,modulates,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensin II"""
It is well established that angiotensin converting enzyme ( ACE ) inhibitors and angiotensin II receptor blockers ( ARBs ) reduce the effects of angiotensin II Fig .,5,26,reduce,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""angiotensin II"""
The absence of renal ACE prevents local Ang II accumulation .,4,9,prevents,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
"In this study we demonstrate that blockade of ACE or chymase mediated endogenous production of Ang II , by captopril and chymostatin respectively , alleviates I/R injury .",8,17,mediated,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
"Apple flavonoids inhibited angiotensin converting enzyme , which is a key enzyme that produce angiotensinogen II , a known vasoconstriction factor associated with hypertension .",3,15,produce,Positive_activation_syntax_5_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensinogen"""
ACE inhibitors can block Ang-II synthesis catalyzed by ACE in cardiac fibroblasts but not that catalyzed by chymase in cardiac myocytes XREF_BIBR XREF_BIBR .,4,9,catalyzed,Positive_activation_syntax_2_verb,Positive_activation,Positive_activation,"""ACE""","""Ang-II"""
"ACE negatively regulates muscle growth by proteolytically converting inactive angiotensin I to the active form , angiotensin II.",0,11,negatively regulates,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"XREF_BIBR , XREF_BIBR Moreover , inhibition of ACE causes an increase in angiotensin I , which is then available for conversion to angiotensin II by ACE independent pathways not blocked by ACEIs , namely cathepsins and tonins .",7,14,causes,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"It is known that angiotensin converting enzyme ( ACE ) inhibitors not only prevent the formation of angiotensin II , but also potentiate the activity of bradykinin .",4,19,prevent,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""angiotensin II"""
"ACE can degrade angiotensin-I ( AT-I ) to generate AT-II , which results in hypertension .",0,4,degrade,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin-I"""
"In order to reduce the side effects during ACE inhibitor therapy , it is desirable to block the conversion of angiotensin I to angiotensin II by ACE ( known to be performed invivo mainly by C-ACE ) without interfering with the degradation of bradykinin 2 .",16,27,block,Negative_activation_syntax_3_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"These studies provided evidence that the vascular compartment is the main site of Ang I formation and conversion to Ang II in the normal heart , and that vascular ACE may limit Ang I entry to the extravascular compartment .",29,34,limit,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang I"""
"Under the conditions of this study , ACE inhibition led to nonuniform changes in the response to exogenous Ang I , suggesting intrarenal conversion of Ang I to Ang II.",7,20,led,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang I"""
It acts as a competitive inhibitor for ACE preventing conversion of angiotensin I to angiotensin II which acts as a vasoconstrictor material and stimulates the secretion of aldosterone .,7,13,preventing,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"The results indicate that ( a ) the SFO mediates drinking caused by peripheral ACE inhibition ; ( b ) the ACE located within the SFO may locally convert ANG I to ANG II , which then stimulates thirst ; and ( c ) central ANG II receptors mediate thirst caused by peripheral ACE inhibition .",11,47,caused,Positive_activation_syntax_2_verb,Positive_activation,Negative_activation,"""ACE""","""ANG II"""
The aims were to determine : ( 1 ) if angiotensin converting enzyme ( ACE ) inhibition and angiotensin II receptor blockade can prevent angiotensin II induced coronary vascular damage ; ( 2 ) if the cardioprotective properties of ACE inhibition are dose dependent ; and ( 3 ) if the cardioprotective properties of ACE inhibition are independent of its ability to prevent the conversion of angiotensin I to angiotensin II.,14,26,prevent,Negative_activation_syntax_5_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"Inhibitors of the ACE block the formation of Ang II but also cause a respective increase in the concentrations of Ang I that can subsequently be converted to Ang II by other pathways , such as the chymase system .",3,22,cause,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang I"""
"While synthetic ACE inhibitors , such as Captopril function by directly blocking the action of ACE , ACE inhibitory peptides function by reacting with ACE , thus ACE is unavailable to cleave Ang I and prevent the production of the vasoconstrictor Ang II [ XREF_BIBR ] .",27,43,prevent,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
Angiotensin converting enzyme ( ACE ) inhibitors and angiotensin receptor blocking drugs ( ARB ) block the effect of angiotensin II by different mechanisms .,4,21,block,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"Angiotensin Converting Enzyme ( ACE ) inhibitors prevent the production of angiotensin II , which has been shown to reduce mortality in patients with congestive heart failure .",0,13,prevent,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Angiotensin Converting Enzyme""","""angiotensin II"""
"These data suggest the vascular compartment is the main site of angiotensin I and bradykinin-( 1-9 ) formation and metabolism , and vascular ACE may limit angiotensin I entry to the extravascular compartment of WT mice .",23,28,limit,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"Acute angiotensin converting enzyme inhibition reduced angiotensin I induced vasoconstriction by 78 % in the hearts of normotensive rats and by 82 % in the hypertensive rats ( p < 0.05 ) , whereas in vivo angiotensin converting enzyme inhibition potentiated angiotensin I induced vasoconstriction in the hearts of normotensive and hipertensive rats ( p < 0.05 ) .",1,8,reduced,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensin I"""
"Angiotensin converting enzyme ( ACE ) inhibitors not only reduce angiotensin II , but also increase bradykinin levels , since the angiotensin converting enzyme is identical to kininase II , an enzyme that degrades bradykinin .",0,12,reduce,Negative_activation_syntax_5_verb,Positive_activation,Negative_activation,"""Angiotensin converting enzyme""","""angiotensin II"""
"Mutations in the RAS genes ACE , AGT , AGTR1 and REN have all been reported to impair the production or function of angiotensin II , leading to RTD [ XREF_BIBR ] .",5,25,impair,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
The long standing classical model of sodium balance regulation in the distal nephron postulates that decreases in effective circulation volume or reduced dietary sodium intake lead to production of the potent antinatriuretic hormone Ang II from its inactive precursor Angiotensinogen ( AGT ) via subsequent cleavages by renin and angiotensin converting enzyme ( ACE ) [ XREF_BIBR ] .,21,52,reduced,Negative_activation_syntax_3_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""Angiotensinogen"""
"These peptides are capable of inhibiting angiotensin converting enzyme ( ACE ) , preventing the formation of Angiotensin II ( Ang II ) , a stimulator of OC resorption , from Angiotensin I ( Ang I ) .",10,33,preventing,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Angiotensin I"""
"Angiotensin converting enzyme ( ACE ) 2 , a new component of RAS , can degrade Ang II to attenuate its subsequent physiological actions .",4,18,degrade,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
The selective augmentation of angiotensin II effects by ACE inhibition and cyclosporin A suggests upregulation of angiotensin receptors in the aortic smooth muscle by these treatments .,2,9,augmentation,Positive_activation_syntax_1_noun,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"In addition , both heart ACE- and IF ACE mediated Ang II formation were strongly inhibited .",8,12,mediated,Positive_early_activation,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
"The peptidic fractions that inhibited angiotensin I converting enzyme ( ACE ) were separated from the peptic digests of 2 microalgae , Chlorella vulgaris and Spirulina platensis , by ion exchange chromatography and gel filtration .",4,11,inhibited,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin I"""
"Because Ang II induced eNOS glutathionylation impaired endothelium dependent vasorelaxation in aortic rings ex vivo , we examined whether attenuation of Ang II signaling by ACE inhibition could reduce baseline redox signaling within critical microdomains by reversing eNOS glutathionylation , thereby improving endothelial function in an in vivo setting .",21,26,signaling,Positive_activation_syntax_2_noun,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
Our study on intracellular effects of angiotensin II in human platelets showed that : ( 1 ) angiotensin II increases intracellular free calcium in platelets via a receptor operated mechanism and this increase is dose dependent ; ( 2 ) the effect on platelet intracellular free calcium depends on the extracellular calcium concentration ; ( 3 ) ACE inhibition leads to an increased sensitivity of intracellular free calcium to angiotensin II but does not alter epinephrine induced calcium increase ; ( 4 ) nifedipine reduces the susceptibility of platelet intracellular free calcium for angiotensin II.,57,71,leads,Positive_activation_syntax_7_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"In contrast , in the non modulators , short-term ACE inhibition significantly enhanced the angiotensin II dose response curve ( P less than 0.01 ) .",9,16,enhanced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"In the present study , we determined whether hyperglycemia activates the cardiac intracellular renin-Ang system ( RAS ) in vivo and whether ARBs , ACE , or renin inhibitors block synthesis and effects of intracellular Ang II ( iAng II ) .",24,37,block,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
Angiotensin converting enzyme ( ACE ) inhibitors and angiotensin type I ( AT ( 1 ) ) receptor blocking drugs block the effects of angiotensin II by different mechanisms .,0,26,block,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Angiotensin converting enzyme""","""angiotensin II"""
"Although ACE inhibition increased the response to angiotensin II , the difference in the response to angiotensin II , between CC and AA+ AC patients remained intact in ACE inhibitor treated patients .",1,9,increased,Positive_activation_syntax_7_verb,Positive_activation,Negative_activation,"""ACE""","""angiotensin II"""
"Consistently , sympatho facilitation by Ang I , which could be abolished by the angiotensin converting enzyme ( ACE ) inhibitor imidaprilat , was apparently greater than that of Ang II in SHR , despite no difference in WKY .",5,17,abolished,Negative_activation_syntax_2_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""Ang I"""
"Angiotensin converting enzyme ( ACE2 ) inhibits RAS activity by converting angiotensin II , the effector peptide of RAS , to angiotensin-( 1-7 ) , which activates Mas receptors ( MasR ) .",0,13,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Angiotensin converting enzyme""","""angiotensin II"""
The unique ability of angiotensin converting enzyme ( ACE ) inhibitors to inhibit the generation of angiotensin II has made them very useful agents for treating patients with renovascular hypertension .,4,18,inhibit,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensin II"""
"Vascular reactivity is also modulated by inhibitors of angiotensin converting enzyme ( lisinopril ) and inhibitors of angiotensin II ( telmisartan , candesartan ) .",4,19,modulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""angiotensin converting enzyme""","""angiotensin II"""
"Therefore , our study concentrated on the presumed modulation by ACE inhibition of local AngII mediated inflammatory actions by a mechanism independent of blockage of AngII formation .",10,15,inhibition,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""ACE""","""AngII"""
Both ACE inhibition and application of an AngII antagonist affect the b-wave of the electroretinogram .,1,8,inhibition,Negative_activation_syntax_3_noun,Positive_activation,Negative_activation,"""ACE""","""AngII"""
Chronic ACE inhibition restores the vasodilator response of MBF to Ang II in LH rats .,1,12,restores,Positive_activation_syntax_7_verb,Positive_activation,Negative_activation,"""ACE""","""Ang II"""
"Ang-( 1-7 ) is produced via degradation of Ang II by the human angiotensin converting enzyme , also known as ACE2 .",6,16,degradation,Negative_activation_syntax_6_noun,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""Ang II"""
Inhibition of ACE and AngII-receptor signalling and AT1R-blockage in AngII treated THP-1 monocytes led to decreased adhesion to endothelial monolayers .,2,10,signalling,Positive_activation_syntax_3_noun,Positive_activation,Positive_activation,"""ACE""","""AngII"""
"Systemic inhibition of angiotensin converting enzyme with enalapril ( 25 mg/kg , per os for 14 days ) produces a large decrease in ANG II receptors localized exclusively in the subfornical organ ( SFO ) of the SHR , and no alterations in ANG II receptors in the normotensive WKY rats .",3,45,produces,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""angiotensin converting enzyme""","""ANG II"""
"ADAM17 RNAi decreased EMMPRIN , p-EGFR , p-ERK , MMP-2 , and MMP-9 proteins in SiHa and HeLa cells .",0,6,decreased,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ADAM17""","""p-EGFR"""
3.6 ADAM17 Knockdown Reduces EGFR Signaling in Colonic Epithelial Cells .,1,5,Reduces,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ADAM17""","""EGFR"""
"In KRAS induced pancreatic tumorigenesis and pancreatitis induced acinar-to-ductal metaplasia mouse models , Adam17 ablation blocks ligand dependent EGFR activation , preventing acinar-to-ductal metaplasia and KRAS driven tumorigenesis ( XREF_TABLE ) .",13,19,blocks,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Adam17""","""EGFR"""
Analysis of EGFR signalling in Adam17 -/- keratinocytes by Western blot ( WB ) revealed about 80 % reduced EGFR activation ( XREF_FIG ) .,5,20,reduced,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Adam17""","""EGFR"""
"In the IB3 cells , an EGFR neutralizing antibody ( XREF_FIG ) , TAPI-1 ( XREF_FIG ) , or TACE siRNA knockdown ( XREF_FIG ) inhibited EGFR-P markedly , whereas , in the C38 cells , these treatments inhibited EGFR-P only slightly ( XREF_FIG ) .",19,27,inhibited,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""TACE""","""EGFR-P"""
"TACE and ADAM17 protein and protease activity were up-regulated markedly at 10 h and maintained to 40 h. Treatment of COCs with the TACE and ADAM17 selective inhibitor TNFalpha processing inhibitor-2 ( TAPI-2 ) significantly suppressed in a time dependent manner downstream targets of EGF receptor activation such as ERK1/2 phosphorylation , Ptgs2 , Has2 , and Tnfaip6 mRNA expression , hormone induced COC expansion , and meiotic maturation of the oocytes .",0,46,up-regulated,Positive_activation_syntax_1_verb,Positive_activation,Positive_activation,"""TACE""","""EGF receptor"""
"TACE genetic depletion in OPs abrogates EGFR activation in OL lineage cells , and perturbs cell expansion and survival , blunting the process of CNS remyelination .",0,7,abrogates,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""TACE""","""EGFR"""
"Therefore , TIMP-3-mediated ADAM17 inhibition is expected to relieve the block on Nrg1 activity and enhances erbB receptor signaling in Schwann cells .",3,17,enhances,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ADAM17""","""erbB"""
"Ang II induced contractile response was blocked by valsartan ( 100 microM , selective AT1 receptor antagonist ) but not PD 123,319 ( 100 microM , selective and potent AT2 receptor antagonist ) .",0,30,induced,Positive_activation_syntax_1_verb,Positive_activation,Negative_activation,"""Ang II""","""AT2"""
